surface_form,entry_type,pinyin,tone,definition,radical,stroke_count,hsk_level,frequency_rank,note
과학,word,gwahak,,Science,,,B,346,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=347; source_complexity=B; pos=명; classification=noun; hanja_ref=科學; senses=1
듯하다,word,deushada,,to be regarded as; to appear to be,,,C,347,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=348; source_complexity=C; pos=보; classification=auxiliary verb; senses=1
자연,word,jayeon,,Nature,,,B,348,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=349; source_complexity=B; pos=명; classification=noun; hanja_ref=自然; senses=1
정말,word,jeongmal,,"true or genuine; Really; Really; Real, true or genuine",,,A,349,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=350, 2834, 4232; source_complexity=A, B; pos=부, 명, 감; classification=adverb, noun, interjection; hanja_ref=正-; senses=3"
구조,word,gujo,,Construction or structure,,,C,350,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=351; source_complexity=C; pos=명; classification=noun; hanja_ref=構造; senses=1
결국,word,gyeolguk,,After all or in the end,,,B,352,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=352; source_complexity=B; pos=명; classification=noun; hanja_ref=結局; senses=1
밥,word,bap,,"Rice, a meal",,,A,353,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=353; source_complexity=A; pos=명; classification=noun; hanja_ref=~을먹다; senses=1
입다,word,ipda,,To wear,,,A,354,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=354; source_complexity=A; pos=동; classification=verb; hanja_ref=옷을~; senses=1
오히려,word,ohiryeo,,"Rather,preferably",,,C,355,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=355; source_complexity=C; pos=부; classification=adverb; senses=1
프로그램,word,peurogeuraem,,Program,,,B,356,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=356; source_complexity=B; pos=명; classification=noun; hanja_ref=program; senses=1
네,word,ne,,Yes,,,A,357,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=357, 1227; source_complexity=A; pos=감, 관; classification=interjection, attributive; senses=1"
이루어지다,word,irueojida,,"Get accomplished, achieved",,,B,359,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=358; source_complexity=B; pos=동; classification=verb; senses=1
남,word,nam,,"Others, other people; male; south",,,C,360,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=359, 4798, 5254; source_complexity=C, B; pos=명; classification=noun; hanja_ref=男, 南; senses=3"
하루,word,haru,,A day,,,B,361,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=360; source_complexity=B; pos=명; classification=noun; senses=1
그림,word,geurim,,A picture,,,A,362,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=361; source_complexity=A; pos=명; classification=noun; senses=1
적,word,jeok,,"The time,the occasion,when; enemy",,,B,363,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=362, 2449; source_complexity=B; pos=의, 명; classification=noun; hanja_ref=敵; senses=2"
터,word,teo,,"one’s status, one’s lot",,,B,364,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=363, 2716; source_complexity=B, C; pos=의, 명; classification=noun; senses=1"
마시다,word,masida,,To drink,,,A,365,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=364; source_complexity=A; pos=동; classification=verb; senses=1
치다,word,chida,,"to attack, assault; to cast (a net); rain, snow, blow, pour",,,A,366,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=365, 2189, 4114, 4978; source_complexity=A, C; pos=동; classification=verb; hanja_ref=얼굴을~, 셈을맞추다, 그물을~, 폭풍우가~; senses=3"
혼자,word,honja,,Alone,,,A,367,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=366; source_complexity=A; pos=명; classification=noun; senses=1
교수,word,gyosu,,Teaching or instruction,,,A,371,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=369; source_complexity=A; pos=명; classification=noun; hanja_ref=敎授; senses=1
술,word,sul,,Alcohol; scoop; spoonful of,,,A,372,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=370, 826; source_complexity=A; pos=명, 의; classification=noun; hanja_ref=~을먹다, 밥한~; senses=2"
사랑,word,sarang,,Love,,,A,373,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=371; source_complexity=A; pos=명; classification=noun; senses=1
의식,word,uisik,,consciousness; awareness; A ceremony,,,C,374,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=372, 3083; source_complexity=C; pos=명; classification=noun; hanja_ref=意識, 儀式; senses=2"
전화,word,jeonhwa,,Telephone,,,A,375,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=373; source_complexity=A; pos=명; classification=noun; hanja_ref=電話; senses=1
끝나다,word,kkeutnada,,To draw to a close or to end,,,A,376,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=374; source_complexity=A; pos=동; classification=verb; senses=1
돌아오다,word,doraoda,,"to return, to come back",,,A,377,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=375; source_complexity=A; pos=동; classification=verb; senses=1
맞다,word,majda,,"Be right, correct; to match, be fitting for; to take as a courtesy, to receive a guest; be beaten, be hit",,,B,378,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=376, 773, 1459; source_complexity=B; pos=동; classification=verb; hanja_ref=답이~, 손님을~, 매를~; senses=3"
아빠,word,appa,,Dad,,,A,379,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=377; source_complexity=A; pos=명; classification=noun; senses=1
걸리다,word,geollida,,To be hung up or suspended,,,B,380,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=378; source_complexity=B; pos=동; classification=verb; hanja_ref=걸다'의피동사; senses=1
지키다,word,jikida,,"Protect, maintain",,,B,381,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=379; source_complexity=B; pos=동; classification=verb; senses=1
한번,word,hanbeon,,Once,,,A,382,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=380; source_complexity=A; pos=명; classification=noun; hanja_ref=-番; senses=1
커피,word,keopi,,Coffee,,,A,383,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=381; source_complexity=A; pos=명; classification=noun; hanja_ref=coffee; senses=1
가슴,word,gaseum,,Chest,,,A,384,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=382; source_complexity=A; pos=명; classification=noun; senses=1
길다,word,gilda,,To be long,,,A,386,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=383; source_complexity=A; pos=형; classification=adjective; hanja_ref=밤이~; senses=1
바라보다,word,baraboda,,"Look at, watch ; to look forward to, hope for",,,B,387,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=384; source_complexity=B; pos=동; classification=verb; senses=1
알아보다,word,araboda,,"To investigate, examine, search",,,C,388,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=385; source_complexity=C; pos=동; classification=verb; senses=1
회사,word,hoesa,,A company,,,A,389,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=386; source_complexity=A; pos=명; classification=noun; hanja_ref=會社; senses=1
맛,word,mas,,Flavor,,,A,390,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=387; source_complexity=A; pos=명; classification=noun; senses=1
대부분,word,daebubun,,Most,,,B,391,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=388; source_complexity=B; pos=명; classification=noun; hanja_ref=大部分; senses=1
산업,word,saneop,,Industry,,,C,392,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=389; source_complexity=C; pos=명; classification=noun; hanja_ref=産業; senses=1
매우,word,maeu,,Very,,,A,393,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=390; source_complexity=A; pos=부; classification=adverb; senses=1
오르다,word,oreuda,,"Go up, climb, ascend",,,A,394,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=391; source_complexity=A; pos=동; classification=verb; senses=1
음식,word,eumsik,,Food,,,A,395,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=392; source_complexity=A; pos=명; classification=noun; hanja_ref=飮食; senses=1
표정,word,pyojeong,,"Facial expression, look",,,B,396,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=393; source_complexity=B; pos=명; classification=noun; hanja_ref=表情; senses=1
꼭,word,kkok,,"For sure; grasping tightly, firmly; holding back resolutely (e.g., tears)",,,A,397,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=394, 2726; source_complexity=A, C; pos=부; classification=adverb; hanja_ref=반드시, 힘을주는모양; senses=2"
일부,word,ilbu,,"A part, a portion",,,B,398,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=395; source_complexity=B; pos=명; classification=noun; hanja_ref=一部; senses=1
요즘,word,yojeum,,"Recently, nowadays",,,A,399,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=396; source_complexity=A; pos=명; classification=noun; senses=1
계획,word,gyehoek,,A plan or a project,,,A,400,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=397; source_complexity=A; pos=명; classification=noun; hanja_ref=計劃; senses=1
느낌,word,neukkim,,"Touch, feel",,,B,401,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=398; source_complexity=B; pos=명; classification=noun; senses=1
얼마,word,eolma,,"How many, how much",,,A,402,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=399; source_complexity=A; pos=명; classification=noun; senses=1
고개,word,gogae,,head; nape of the neck; The nape of the neck,,,B,403,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=400, 4560; source_complexity=B, C; pos=명; classification=noun; hanja_ref=~를돌리다, ~너머; senses=2"
성격,word,seonggyeok,,"Personality ; character, nature",,,B,404,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=401; source_complexity=B; pos=명; classification=noun; hanja_ref=性格; senses=1
계속,word,gyesok,,Continuously,,,A,405,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=402; source_complexity=A; pos=부; classification=adverb; hanja_ref=繼續; senses=1
세기,word,segi,,Century,,,B,406,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=403; source_complexity=B; pos=명; classification=noun; hanja_ref=世紀; senses=1
세우다,word,seuda,,"Stand up, erect",,,B,407,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=404; source_complexity=B; pos=동; classification=verb; senses=1
아내,word,anae,,Wife,,,A,408,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=405; source_complexity=A; pos=명; classification=noun; senses=1
가족,word,gajok,,Family,,,A,409,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=406; source_complexity=A; pos=명; classification=noun; hanja_ref=家族; senses=1
현재,word,hyeonjae,,"The present time, now, at present",,,B,411,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=407, 796; source_complexity=B; pos=부, 명; classification=adverb, noun; hanja_ref=現在; senses=1"
세,word,se,,"Three; years, years old; world; lineage; generation",,,A,413,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=408, 926, 3875; source_complexity=A, C; pos=관, 의; classification=attributive, noun; hanja_ref=~권, 歲, 世; senses=3"
발전,word,baljeon,,Development; power generation,,,B,416,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=410, 3660; source_complexity=B, C; pos=명; classification=noun; hanja_ref=發展, 發電; senses=2"
차,word,cha,,"A vehicle, train/auto car; second; next, subsequent; tea; difference; to distinguish",,,A,417,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=411, 920, 2775, 2837; source_complexity=A, C; pos=명, 의; classification=noun; hanja_ref=車, 次, 茶, 差; senses=4"
놀다,word,nolda,,"Play, amuse oneself",,,A,418,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=412; source_complexity=A; pos=동; classification=verb; senses=1
향하다,word,hyanghada,,"To face, look out on",,,B,419,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=413; source_complexity=B; pos=동; classification=verb; hanja_ref=向-; senses=1
관련,word,gwanryeon,,Relation or connection or reference,,,B,420,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=414; source_complexity=B; pos=명; classification=noun; hanja_ref=關聯; senses=1
형태,word,hyeongtae,,"Form, shape",,,C,421,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=415; source_complexity=C; pos=명; classification=noun; hanja_ref=形態; senses=1
각,word,gak,,Each or every,,,B,422,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=416; source_complexity=B; pos=관; classification=attributive; hanja_ref=各; senses=1
도시,word,dosi,,City,,,A,423,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=417; source_complexity=A; pos=명; classification=noun; hanja_ref=都市; senses=1
작업,word,jageop,,Work,,,C,424,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=418; source_complexity=C; pos=명; classification=noun; hanja_ref=作業; senses=1
분위기,word,bunwigi,,"atmosphere,surroundings",,,B,425,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=419; source_complexity=B; pos=명; classification=noun; hanja_ref=雰圍氣; senses=1
그러하다,word,geureohada,,To be so or right,,,B,426,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=420; source_complexity=B; pos=형; classification=adjective; senses=1
나이,word,nai,,Age,,,A,429,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=422; source_complexity=A; pos=명; classification=noun; senses=1
우선,word,useon,,"First of all, before everything",,,B,430,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=423; source_complexity=B; pos=부; classification=adverb; hanja_ref=于先; senses=1
믿다,word,mitda,,Believe,,,B,431,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=424; source_complexity=B; pos=동; classification=verb; senses=1
바꾸다,word,bakkuda,,"change,exchange",,,A,432,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=425; source_complexity=A; pos=동; classification=verb; senses=1
낳다,word,nahda,,To give birth,,,B,433,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=426; source_complexity=B; pos=동; classification=verb; senses=1
바,word,ba,,"A thing, what; bar",,,C,434,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=427, 3958; source_complexity=C; pos=의, 명; classification=noun; hanja_ref=bar; senses=2"
정보,word,jeongbo,,"information,intelligence",,,B,435,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=428; source_complexity=B; pos=명; classification=noun; hanja_ref=情報; senses=1
열리다,word,yeollida,,"Open, be opened, be unlocked; to bear fruit",,,B,436,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=429, 5631; source_complexity=B; pos=동; classification=verb; hanja_ref=문이~, 열매가~; senses=2"
좋아하다,word,johahada,,"To like, be fond of",,,A,438,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=430; source_complexity=A; pos=동; classification=verb; senses=1
그리다,word,geurida,,Picture or draw a picture,,,A,439,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=431; source_complexity=A; pos=동; classification=verb; hanja_ref=그림을~; senses=1
만큼,word,mankeum,,Of that amount,,,B,440,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=432; source_complexity=B; pos=의; classification=noun; senses=1
배우다,word,baeuda,,To learn,,,A,441,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=433; source_complexity=A; pos=동; classification=verb; senses=1
역할,word,yeokhal,,"A part, a role",,,B,443,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=435; source_complexity=B; pos=명; classification=noun; hanja_ref=役割; senses=1
옆,word,yeop,,Next to,,,A,444,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=436; source_complexity=A; pos=명; classification=noun; senses=1
행동,word,haengdong,,"Action, behavior",,,B,445,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=437; source_complexity=B; pos=명; classification=noun; hanja_ref=行動; senses=1
어,word,eo,,"Oh, well, why",,,A,446,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=438; source_complexity=A; pos=감; classification=interjection; senses=1
국내,word,guknae,,Inside the country,,,B,447,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=439; source_complexity=B; pos=명; classification=noun; hanja_ref=國內; senses=1
비하다,word,bihada,,Compare to,,,C,448,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=440; source_complexity=C; pos=동; classification=verb; hanja_ref=比-; senses=1
기관,word,gigwan,,An engine or a machine,,,C,449,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=441; source_complexity=C; pos=명; classification=noun; hanja_ref=機關; senses=1
입장,word,ipjang,,"A position, situation",,,C,450,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=442; source_complexity=C; pos=명; classification=noun; hanja_ref=立場; senses=1
만하다,word,manhada,,Be of the extent of,,,C,451,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=443; source_complexity=C; pos=보; classification=auxiliary verb; senses=1
예,word,ye,,Example,,,B,452,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=444, 587, 2969; source_complexity=B, A, C; pos=명, 감; classification=noun, interjection; hanja_ref=例, ~나지금이나; senses=1"
아래,word,arae,,"The bottom, the lower part",,,A,453,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=445; source_complexity=A; pos=명; classification=noun; senses=1
방식,word,bangsik,,"A form, method, process",,,C,454,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=446; source_complexity=C; pos=명; classification=noun; hanja_ref=方式; senses=1
영향,word,yeonghyang,,"Influence, consequences",,,C,455,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=447; source_complexity=C; pos=명; classification=noun; hanja_ref=影響; senses=1
그럼,word,geureom,,Certainly or of course.,,,A,457,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=448, 2513; source_complexity=A; pos=부, 감; classification=adverb, interjection; hanja_ref=그러면'의준말; senses=1"
나서다,word,naseoda,,"Come out, come forth",,,B,458,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=449; source_complexity=B; pos=동; classification=verb; senses=1
흐르다,word,heureuda,,"Flow, stream",,,B,459,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=450; source_complexity=B; pos=동; classification=verb; senses=1
깊다,word,gipda,,Deep,,,B,461,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=452; source_complexity=B; pos=형; classification=adjective; senses=1
배,word,bae,,"A boat (boating); abdomen, belly; double, twice, twofold; times, -fold; pear",,,A,462,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=453, 822, 882, 4197; source_complexity=A, C; pos=명; classification=noun; hanja_ref=~를띄우다, 신체의일부, 倍, 열매; senses=4"
내,word,nae,,Inside,,,C,463,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=454; source_complexity=C; pos=의; classification=noun; hanja_ref=內; senses=1
모양,word,moyang,,"A shape, form",,,B,464,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=455, 876; source_complexity=B; pos=명, 의; classification=noun; hanja_ref=模樣; senses=1"
산,word,san,,A mountain,,,A,465,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=456; source_complexity=A; pos=명; classification=noun; hanja_ref=山; senses=1
새,word,sae,,"New; bird; Contraction of 사이 (sai, “gap; space between”",,,A,466,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=457, 1036, 2828; source_complexity=A, C; pos=관, 명; classification=attributive, noun; hanja_ref=날짐승, 사이; senses=3"
하지만,word,hajiman,,"But, nevertheless",,,A,467,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=458; source_complexity=A; pos=부; classification=adverb; senses=1
조건,word,jogeon,,"condition,stipulation",,,B,468,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=459; source_complexity=B; pos=명; classification=noun; hanja_ref=條件; senses=1
문,word,mun,,Door,,,A,469,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=460; source_complexity=A; pos=명; classification=noun; hanja_ref=門; senses=1
꽃,word,kkocc,,Flower,,,A,470,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=461; source_complexity=A; pos=명; classification=noun; senses=1
단계,word,dangye,,"A step, phase",,,C,471,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=462; source_complexity=C; pos=명; classification=noun; hanja_ref=段階; senses=1
올리다,word,ollida,,"Raise, lift up",,,C,472,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=463; source_complexity=C; pos=동; classification=verb; senses=1
그동안,word,geudongan,,During that time,,,A,473,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=464; source_complexity=A; pos=명; classification=noun; senses=1
교사,word,gyosa,,Instructor,,,C,474,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=465; source_complexity=C; pos=명; classification=noun; hanja_ref=敎師; senses=1
갑자기,word,gapjagi,,Suddenly,,,A,475,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=466; source_complexity=A; pos=부; classification=adverb; senses=1
넘다,word,neomda,,Cross or go across,,,B,476,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=467; source_complexity=B; pos=동; classification=verb; senses=1
지니다,word,jinida,,"Carry with, hold, possess",,,C,477,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=468; source_complexity=C; pos=동; classification=verb; senses=1
바람,word,baram,,"Wind; desire, expectation, hope",,,A,478,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=469, 1567, 4193; source_complexity=A, C; pos=명, 의; classification=noun; hanja_ref=~이불다, 눈이오는~에, 소원; senses=2"
잘하다,word,jalhada,,To do well,,,A,479,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=470; source_complexity=A; pos=동; classification=verb; senses=1
마을,word,maeul,,Town,,,B,480,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=471; source_complexity=B; pos=명; classification=noun; senses=1
어리다,word,eorida,,"To be very young, juvenile; tears come to eyes",,,B,481,"Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=472, 3580; source_complexity=B; pos=형, 동; classification=adjective, verb; hanja_ref=나이가적다, 눈물이~; senses=2"
대표,word,daepyo,,Representative,,,B,482,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=473; source_complexity=B; pos=명; classification=noun; hanja_ref=代表; senses=1
가능성,word,ganeungseong,,Possibility,,,B,483,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=474; source_complexity=B; pos=명; classification=noun; hanja_ref=可能性; senses=1
방향,word,banghyang,,Direction,,,B,484,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=475; source_complexity=B; pos=명; classification=noun; hanja_ref=方向; senses=1
대회,word,daehoe,,A great meeting,,,B,485,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=476; source_complexity=B; pos=명; classification=noun; hanja_ref=大會; senses=1
목소리,word,moksori,,Voice,,,B,486,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=477; source_complexity=B; pos=명; classification=noun; senses=1
노래,word,norae,,Song,,,A,487,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=478; source_complexity=A; pos=명; classification=noun; senses=1
바다,word,bada,,Sea,,,A,488,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=479; source_complexity=A; pos=명; classification=noun; senses=1
힘들다,word,himdeulda,,"To be hard, difficult",,,A,489,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=480; source_complexity=A; pos=형; classification=adjective; senses=1
공부,word,gongbu,,Study,,,A,490,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=481; source_complexity=A; pos=명; classification=noun; hanja_ref=工夫; senses=1
움직이다,word,umjigida,,"To move, stir",,,B,491,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=482; source_complexity=B; pos=동; classification=verb; senses=1
의원,word,uiwon,,A member,,,C,492,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=483; source_complexity=C; pos=명; classification=noun; hanja_ref=議員; senses=1
노력,word,noryeok,,Effort,,,B,494,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=484; source_complexity=B; pos=명; classification=noun; hanja_ref=努力; senses=1
전혀,word,jeonhyeo,,"entirely,utterly,completely",,,B,496,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=486; source_complexity=B; pos=부; classification=adverb; hanja_ref=全-; senses=1
언니,word,eonni,,Older sister,,,A,497,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=487; source_complexity=A; pos=명; classification=noun; senses=1
단체,word,danche,,"A corps, a group",,,B,498,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=488; source_complexity=B; pos=명; classification=noun; hanja_ref=團體; senses=1
알려지다,word,allyeojida,,To become known,,,B,500,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=490; source_complexity=B; pos=동; classification=verb; senses=1
가능하다,word,ganeunghada,,To be possible,,,B,501,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=491; source_complexity=B; pos=형; classification=adjective; hanja_ref=可能-; senses=1
능력,word,neungryeok,,"Ability, capability, how much and how well",,,B,502,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=492; source_complexity=B; pos=명; classification=noun; hanja_ref=能力; senses=1
주장하다,word,jujanghada,,"To assert,maintain",,,B,503,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=493; source_complexity=B; pos=동; classification=verb; hanja_ref=主張-; senses=1
자식,word,jasik,,one’s children,,,B,504,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=494; source_complexity=B; pos=명; classification=noun; hanja_ref=子息; senses=1
돌리다,word,dollida,,"to turn (e.g. A clock), to spin",,,B,505,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=495; source_complexity=B; pos=동; classification=verb; hanja_ref=팽이를~; senses=1
불,word,bul,,Fire,,,A,506,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=496; source_complexity=A; pos=명; classification=noun; senses=1
주민,word,jumin,,"inhabitants,dwellers",,,C,507,Source: Korean vocabulary list 6000 TOPIK final release v1.xlsx; source_rows=497; source_complexity=C; pos=명; classification=noun; hanja_ref=住民; senses=1
